voxelID x y
425 -5 -3
426 -6 -3
427 -7 -3
428 -8 -3
429 -9 -3
430 -10 -3
431 -11 -3
432 -12 -3
433 -13 -3
434 -14 -3
435 0 -4
436 1 -4
437 2 -4
438 3 -4
439 4 -4
440 5 -4
441 6 -4
442 7 -4
443 8 -4
444 9 -4
445 10 -4
446 11 -4
447 12 -4
448 13 -4
449 -1 -4
450 -2 -4
451 -3 -4
452 -4 -4
453 -5 -4
454 -6 -4
455 -7 -4
456 -8 -4
457 -9 -4
458 -10 -4
459 -11 -4
460 -12 -4
461 -13 -4
462 0 -5
463 1 -5
464 2 -5
465 3 -5
466 4 -5
467 5 -5
468 6 -5
469 7 -5
470 8 -5
471 9 -5
472 10 -5
473 11 -5
474 12 -5
475 13 -5
476 -1 -5
477 -2 -5
478 -3 -5
479 -4 -5
480 -5 -5
481 -6 -5
482 -7 -5
483 -8 -5
484 -9 -5
485 -10 -5
486 -11 -5
487 -12 -5
488 -13 -5
489 0 -6
490 1 -6
491 2 -6
492 3 -6
493 4 -6
494 5 -6
495 6 -6
496 7 -6
497 8 -6
498 9 -6
499 10 -6
500 11 -6
501 12 -6
502 13 -6
503 -1 -6
504 -2 -6
505 -3 -6
506 -4 -6
507 -5 -6
508 -6 -6
509 -7 -6
510 -8 -6
511 -9 -6
512 -10 -6
513 -11 -6
514 -12 -6
515 -13 -6
516 0 -7
517 1 -7
518 2 -7
519 3 -7
520 4 -7
521 5 -7
522 6 -7
523 7 -7
524 8 -7
525 9 -7
526 10 -7
527 11 -7
528 12 -7
529 -1 -7
530 -2 -7
531 -3 -7
532 -4 -7
533 -5 -7
534 -6 -7
535 -7 -7
536 -8 -7
537 -9 -7
538 -10 -7
539 -11 -7
540 -12 -7
541 0 -8
542 1 -8
543 2 -8
544 3 -8
545 4 -8
546 5 -8
547 6 -8
548 7 -8
549 8 -8
550 9 -8
551 10 -8
552 11 -8
553 12 -8
554 -1 -8
555 -2 -8
556 -3 -8
557 -4 -8
558 -5 -8
559 -6 -8
560 -7 -8
561 -8 -8
562 -9 -8
563 -10 -8
564 -11 -8
565 -12 -8
566 0 -9
567 1 -9
568 2 -9
569 3 -9
570 4 -9
571 5 -9
572 6 -9
573 7 -9
574 8 -9
575 9 -9
576 10 -9
577 11 -9
578 -1 -9
579 -2 -9
580 -3 -9
581 -4 -9
582 -5 -9
583 -6 -9
584 -7 -9
585 -8 -9
586 -9 -9
587 -10 -9
588 -11 -9
589 0 -10
590 1 -10
591 2 -10
592 3 -10
593 4 -10
594 5 -10
595 6 -10
596 7 -10
597 8 -10
598 9 -10
599 10 -10
600 -1 -10
601 -2 -10
602 -3 -10
603 -4 -10
604 -5 -10
605 -6 -10
606 -7 -10
607 -8 -10
608 -9 -10
609 -10 -10
610 0 -11
611 1 -11
612 2 -11
613 3 -11
614 4 -11
615 5 -11
616 6 -11
617 7 -11
618 8 -11
619 9 -11
620 -1 -11
621 -2 -11
622 -3 -11
623 -4 -11
624 -5 -11
625 -6 -11
626 -7 -11
627 -8 -11
628 -9 -11
629 0 -12
630 1 -12
631 2 -12
632 3 -12
633 4 -12
634 5 -12
635 6 -12
636 7 -12
637 8 -12
638 -1 -12
639 -2 -12
640 -3 -12
641 -4 -12
642 -5 -12
643 -6 -12
644 -7 -12
645 -8 -12
646 0 -13
647 1 -13
648 2 -13
649 3 -13
650 4 -13
651 5 -13
652 6 -13
653 -1 -13
654 -2 -13
655 -3 -13
656 -4 -13
657 -5 -13
658 -6 -13
659 0 -14
660 1 -14
661 2 -14
662 3 -14
663 -1 -14
664 -2 -14
665 -3 -14
